桂枝香	疏簾淡月
錦堂春慢	錦堂春
西平樂	西平樂慢
水龍吟	豐年瑞 鼓笛慢 龍吟曲 小樓連苑 莊椿歲
石州慢	柳色黃 石州引
宴清都	四代好
慶春宮	慶宮春
憶舊遊	憶舊遊慢
花犯	繡鸞鳳花犯
倒犯	吉了犯
瑞鶴仙	一撚紅
齊天樂	台城路 五福降中天 如此江山
氐州第一	熙州摘遍
瑤華	瑤花慢
竹馬兒	竹馬子
憶瑤姬	別素質 別瑤姬慢
探春慢	探春
眉嫵	百宜嬌
湘江靜	瀟湘靜
歸朝歡	菖蒲綠
永遇樂	消息
二郎神	轉調二郎神 十二郎
傾杯樂	古傾杯 傾杯
月中桂	月中仙
拜星月慢	拜新月
花心動	好心動 桂香飄 上升花 花心慢動
陽春	陽春曲
西河	西河慢 西湖
秋霽	春霽
解連環	望梅 杏樑燕
夜飛鵲慢	夜飛鵲
落梅	落梅慢
飛雪滿群山	遍扁尋舊約 飛雪滿堆山
泛青苕	感皇恩慢
奪錦標	清溪怨
江城子慢	江神子慢
八寶妝	八犯玉交枝
疏影	綠意 解佩環
選冠子	選官子 轉調選冠子 惜餘春慢 蘇武慢 過秦樓
霜葉飛	半嬋娟
沁園春	東仙 壽星明 洞庭春色
瑤台月	瑤池月
摸魚兒	買陂塘 陂塘柳 邁陂塘 山鬼謠 雙蕖怨
賀新郎	金縷歌 金縷曲 金縷詞 乳燕飛 賀新涼 風敲竹 貂裘換酒
弔嚴陵	暮雲碧
金明池	昆明池 夏雲峰
笛家	笛家弄慢
秋思耗	畫屏秋色
多麗	鴨頭綠 隴頭泉
寶鼎現	三段子 寶鼎兒
哨遍	稍遍
戚氏	夢遊仙
鶯啼序	豐樂樓
